interaction,interactionDelta,intent,intentSuccess,stepDelta,step,stepDuration,totalDuration,highlightIngredients,group,interface,recipe,timestamp,session,_id
"startClick",89468,"start",false,1,0,89468,89468,,1,"sbs","lasagna","2014-12-08T00:50:50.473Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484f5ec7f671a49094b4900)
"nextClick",113206,"nextStep",true,1,1,113206,202674,,1,"sbs","lasagna","2014-12-08T00:52:43.678Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484f65b7f671a49094b4901)
"nextClick",1212336,"nextStep",true,1,2,1212336,1415010,,1,"sbs","lasagna","2014-12-08T01:12:56.015Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484fb187f671a49094b4902)
"prevClick",429097,"prevStep",true,-1,3,429097,1844107,,1,"sbs","lasagna","2014-12-08T01:20:05.111Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484fcc87f671a49094b4903)
"doneClick",6736393,"done",true,0,0,6736393,6762898,,3,"control","lasagna","2014-12-08T01:20:43.502Z","5511517ce047964b623ec6906885690eeacbda56",ObjectID(5484fceb7f671a49094b4904)
"nextClick",433335,"nextStep",true,1,2,433335,2277442,,1,"sbs","lasagna","2014-12-08T01:27:18.447Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484fe777f671a49094b4906)
"unknownClick",49958,"unknown",false,0,3,49958,2327400,,1,"sbs","lasagna","2014-12-08T01:28:08.404Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484feac7f671a49094b4907)
"unknownClick",2115,"unknown",false,0,3,52073,2329515,,1,"sbs","lasagna","2014-12-08T01:28:10.519Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484feac7f671a49094b4908)
"unknownClick",4045,"unknown",false,0,3,56118,2333560,,1,"sbs","lasagna","2014-12-08T01:28:14.564Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484feae7f671a49094b4909)
"nextClick",329322,"nextStep",true,1,3,385440,2662882,,1,"sbs","lasagna","2014-12-08T01:33:43.887Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5484fff87f671a49094b490a)
"nextClick",18284,"nextStep",true,1,4,18284,2681166,,1,"sbs","lasagna","2014-12-08T01:34:02.171Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5485000a7f671a49094b490b)
"nextClick",50732,"nextStep",true,1,5,50732,2731898,,1,"sbs","lasagna","2014-12-08T01:34:52.903Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5485003d7f671a49094b490c)
"prevClick",1733,"prevStep",true,-1,6,1733,2733631,,1,"sbs","lasagna","2014-12-08T01:34:54.635Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5485003e7f671a49094b490d)
"prevClick",518,"prevStep",true,-1,5,518,2734149,,1,"sbs","lasagna","2014-12-08T01:34:55.153Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(5485003f7f671a49094b490e)
"prevClick",1468,"prevStep",true,-1,4,1468,2735617,,1,"sbs","lasagna","2014-12-08T01:34:56.622Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(548500407f671a49094b490f)
"nextClick",17123,"nextStep",true,1,3,17123,2752740,,1,"sbs","lasagna","2014-12-08T01:35:13.745Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(548500517f671a49094b4910)
"prevClick",1442,"prevStep",true,-1,4,1442,2754182,,1,"sbs","lasagna","2014-12-08T01:35:15.187Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(548500537f671a49094b4911)
"prevClick",383,"prevStep",true,-1,3,383,2754565,,1,"sbs","lasagna","2014-12-08T01:35:15.569Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(548500537f671a49094b4912)
"nextClick",225629,"nextStep",true,1,2,225629,2980194,,1,"sbs","lasagna","2014-12-08T01:39:01.198Z","a7eb5180f2e6e2f4d49d743114520acff26d4c7e",ObjectID(548501357f671a49094b4913)
